acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
INGAED,THEOCA_45,1509,19105,2817,442,NA,87.14989508256545,12.85010491743454,2.0162393942158565,-10.833865523218684,Inga edulis,N-fixing,0.049323259
INGAED,COFFAR_85,66,11412,3089,0,NA,78.69802082614991,21.30197917385008,0,-21.30197917385008,Inga edulis,N-fixing,0.049323259
INGAED,THEOCA_85,1482,18502,3420,469,NA,84.3992336465651,15.600766353434906,2.139403339111395,-13.461363014323512,Inga edulis,N-fixing,0.049323259
INGAJI,COFFAR_45,3397,6375,4771,24,NA,57.195406423829176,42.804593576170824,0.2153238830073569,-42.589269693163466,Inga jinicuil,N-fixing,0.201719485
INGAJI,THEOCA_45,10997,5978,6866,32,NA,46.543132980379944,53.456867019620056,0.24914356898162568,-53.20772345063843,Inga jinicuil,N-fixing,0.201719485
INGAJI,COFFAR_85,3406,5498,5648,15,NA,49.327112865602004,50.672887134397996,0.13457742687959806,-50.5383097075184,Inga jinicuil,N-fixing,0.201719485
INGAJI,THEOCA_85,10988,5164,7680,41,NA,40.20554344440984,59.79445655559016,0.31921519775770785,-59.47524135783245,Inga jinicuil,N-fixing,0.201719485
INGALA,COFFAR_45,6485,6295,1556,231,NA,80.18086867914916,19.819131320850847,2.942300343905235,-16.876830976945612,Inga latibracteata,N-fixing,0.049323259
INGALA,THEOCA_45,15049,5877,2678,269,NA,68.69666861484512,31.30333138515488,3.1443600233781415,-28.15897136177674,Inga latibracteata,N-fixing,0.049323259
INGALA,COFFAR_85,6609,5596,2255,107,NA,71.27754426187747,28.722455738122534,1.3628837090816457,-27.359572029040887,Inga latibracteata,N-fixing,0.049323259
INGALA,THEOCA_85,15164,5204,3351,154,NA,60.82992402104033,39.17007597895967,1.8001168907071887,-37.369959088252486,Inga latibracteata,N-fixing,0.049323259
INGALE,COFFAR_45,8781,4232,1550,4,NA,73.19266689726737,26.807333102732617,0.06918021445866482,-26.73815288827395,Inga leiocalycina,N-fixing,0.004173507
INGALE,THEOCA_45,8835,12200,2808,30,NA,81.28997867803838,18.71002132196162,0.19989339019189767,-18.510127931769723,Inga leiocalycina,N-fixing,0.004173507
INGALE,COFFAR_85,8776,4053,1729,9,NA,70.09685230024213,29.90314769975787,0.15565548253199585,-29.747492217225876,Inga leiocalycina,N-fixing,0.004173507
INGALE,THEOCA_85,8785,11876,3132,80,NA,79.13113006396588,20.868869936034116,0.5330490405117271,-20.33582089552239,Inga leiocalycina,N-fixing,0.004173507
INGALR,COFFAR_45,1133,10954,2124,356,NA,83.75898455421319,16.241015445786818,2.7221287658663407,-13.518886679920477,Inga laurina,N-fixing,0.049323259
INGALR,THEOCA_45,3962,15290,4390,231,NA,77.69308943089432,22.306910569105693,1.173780487804878,-21.133130081300813,Inga laurina,N-fixing,0.049323259
INGALR,COFFAR_85,1145,9922,3156,344,NA,75.86786970484783,24.132130295152162,2.6303716164551156,-21.501758678697048,Inga laurina,N-fixing,0.049323259
INGALR,THEOCA_85,3797,14363,5317,396,NA,72.98272357723577,27.01727642276423,2.0121951219512195,-25.00508130081301,Inga laurina,N-fixing,0.049323259
INGAMI,COFFAR_45,3405,7460,3698,4,NA,66.85785983151102,33.14214016848898,0.0358487184083169,-33.10629145008066,Inga micheliana,N-fixing,0.087643638
INGAMI,THEOCA_45,11921,7171,4615,166,NA,60.8433734939759,39.1566265060241,1.4084507042253522,-37.748175801798745,Inga micheliana,N-fixing,0.087643638
INGAMI,COFFAR_85,3409,6597,4561,0,NA,59.12349883491665,40.876501165083354,0,-40.876501165083354,Inga micheliana,N-fixing,0.087643638
INGAMI,THEOCA_85,11926,6751,5035,161,NA,57.279823519429826,42.72017648057017,1.3660274902426608,-41.35414899032751,Inga micheliana,N-fixing,0.087643638
INGANO,COFFAR_45,8091,4646,1829,1,NA,71.75289575289575,28.24710424710425,0.015444015444015444,-28.231660231660236,Inga nobilis,N-fixing,0.001391169
INGANO,THEOCA_45,9441,10928,3455,49,NA,75.97858583049434,24.021414169505668,0.3406799694083293,-23.68073420009734,Inga nobilis,N-fixing,0.001391169
INGANO,COFFAR_85,8092,4377,2098,0,NA,67.5984555984556,32.4015444015444,0,-32.4015444015444,Inga nobilis,N-fixing,0.001391169
INGANO,THEOCA_85,9427,10580,3803,63,NA,73.5590627824515,26.440937217548495,0.43801710352499473,-26.0029201140235,Inga nobilis,N-fixing,0.001391169
INGAOE,COFFAR_45,3974,6456,4127,10,NA,61.00349617310782,38.99650382689219,0.09449116507606539,-38.90201266181612,Inga oerstediana,N-fixing,0.843048329
INGAOE,THEOCA_45,8463,10448,4879,83,NA,68.16728648789717,31.832713512102824,0.5415280224440531,-31.291185489658773,Inga oerstediana,N-fixing,0.843048329
INGAOE,COFFAR_85,3979,5404,5179,5,NA,51.063025607105736,48.936974392894264,0.047245582538032696,-48.88972881035623,Inga oerstediana,N-fixing,0.843048329
INGAOE,THEOCA_85,8450,9703,5624,96,NA,63.3065831539114,36.6934168460886,0.6263456645136034,-36.067071181575,Inga oerstediana,N-fixing,0.843048329
INGAPA,COFFAR_45,3629,8732,2179,27,NA,80.02932820089818,19.970671799101826,0.2474566950783613,-19.723215104023463,Inga pavoniana,N-fixing,0.077905456
INGAPA,THEOCA_45,4402,16634,2775,62,NA,85.7025091452419,14.297490854758102,0.3194394353135144,-13.978051419444588,Inga pavoniana,N-fixing,0.077905456
INGAPA,COFFAR_85,3640,7836,3075,16,NA,71.81743194940886,28.182568050591144,0.14664100449088077,-28.035927046100262,Inga pavoniana,N-fixing,0.077905456
INGAPA,THEOCA_85,4395,15580,3829,69,NA,80.27203874491215,19.727961255087845,0.3555051780102015,-19.372456077077643,Inga pavoniana,N-fixing,0.077905456
INGAPU,COFFAR_45,2612,9279,2638,38,NA,77.86355626416044,22.136443735839556,0.3188721993790384,-21.81757153646052,Inga punctata,N-fixing,0.382571437
INGAPU,THEOCA_45,2366,19182,2072,253,NA,90.25124682412722,9.748753175872777,1.1903641667450833,-8.558389009127694,Inga punctata,N-fixing,0.382571437
